timepoint,sub-0006,sub-0189,sub-0924
45,135109.3442983645,323.7834398506189,256.9330953056706
46,135435.7143889741,324.3288597226034,257.17672335556756
47,135111.79777438735,325.3120094715512,260.7252852796067
48,135339.45678153593,326.1553120361067,255.91882789497512
49,135033.78953474446,325.60876147222444,253.174439338141
50,135144.559699345,322.7087104914019,261.22187399002377
51,135315.64411291928,325.3043667290303,263.098655905214
52,134271.42209007216,325.0720335732326,257.18946146910133
53,134840.16439182134,325.4138902853727,254.12632391875962
54,134764.8136728536,326.6162096816512,257.3790320476081
55,134680.56107587833,322.9367617231953,257.4275541003187
56,134862.42887438665,324.4088965748089,257.6201523179555
57,135747.4706556172,325.59090632279333,255.7732239161563
58,134567.08444215337,323.41840560054607,259.15912228495296
59,135484.13917729573,326.4759490480535,259.04901475057216
60,134158.5651141921,325.36835661270067,255.0111887603614
61,134832.5574850071,325.8465839858434,259.39839346338977
62,135081.3765325525,324.42905633847823,262.1053699638918
63,135293.11116567964,325.8137636899662,258.34392066487413
64,135355.61328989643,326.06847155598905,257.325349675863
65,135396.67361759997,325.23287802013715,257.715993571185
66,134825.63746387578,325.2344008926987,259.23051353393714
67,134768.82410366772,325.2703432392817,254.53865678898558
68,135428.98794062858,324.1366547352606,258.3287814059546
69,134904.34783755918,324.8524713197597,257.2190721010744
70,134362.15683833105,324.84747746754766,261.6956500259121
71,134433.35639299825,325.3833938643535,257.65165453239007
72,134540.2738569992,325.9998242469103,261.335775222239
73,135248.5803720269,323.9414639180216,255.792518604436
74,135071.21286803528,324.8749909696804,259.1745183336056
75,135345.24267703388,326.481455547659,258.6388005275825
76,134786.37367683175,324.25641177118746,256.26190550427043
77,135079.26984553837,324.17774998270966,258.35479222927387
78,135312.79519698367,325.2023061918312,260.4250376736632
79,134845.32673013987,325.8443851904853,257.3524165914268
80,135228.3876187787,325.01142605556066,254.61607470166047
81,134669.03702946668,326.32896059043696,257.9648743470451
82,134818.47307671746,325.8567939825665,256.195153810415
83,134809.13105300083,325.8418200668901,257.31531812267224
84,134402.08017720547,325.5541165013241,257.83682446062977
85,135243.48624039278,327.3276531003461,254.58869556796895
86,134765.29882989865,324.79483831113396,254.76868332135865
87,135006.24705936384,322.9964777079335,258.96413367105106
88,135240.37332945297,326.6042543615171,256.95456260766065
89,135223.26558801497,324.54230056904316,252.87051131635886
90,135332.6925544864,325.10788044434304,259.5696880732163
91,134950.75725774528,326.30955068486054,258.5447395105485
92,134788.3508439779,323.3977404589411,256.57225035192704
